NPI,Name,Physician,Specialty,Entity_Name,ECP_Category,Street,City,State,County,Zip,Networks,Carrier,name_location_carrier,locations
1649267741,Center Dental Clinic,Non-Physician,Dental Providers,"VALLEY WIDE HEALTH SYSTEMS, INC.",Dental Providers,220 S Worth St,Center,CO,Rio Grande,81125,"CON002, CON003",Anthem BCBS,"Center Dental Clinic: 220 S Worth St, Center, CO, 81125: Anthem BCBS","220 S Worth St, Center, CO, 81125"
1386063485,Dental Center at Flagler,Non-Physician,Dental Providers,PEAK VISTA COMMUNITY HEALTH CENTERS,Dental Providers,309 Pawnee Ave,Flagler,CO,Kit Carson,80815-9286,"CON002, CON003",Anthem BCBS,"Dental Center at Flagler: 309 Pawnee Ave, Flagler, CO, 80815-9286: Anthem BCBS","309 Pawnee Ave, Flagler, CO, 80815-9286"
1295724797,La Jara Dental Clinic,Non-Physician,Dental Providers,"VALLEY WIDE HEALTH SYSTEMS, INC.",Dental Providers,421 Walnut St,La Jara,CO,Conejos,81140,"CON002, CON003",Anthem BCBS,"La Jara Dental Clinic: 421 Walnut St, La Jara, CO, 81140: Anthem BCBS","421 Walnut St, La Jara, CO, 81140"
1639595986,School Based Health Center - Summit High School,Non-Physician,006 Primary Care - Nurse Practitioner,"Summit Community Care Clinic, Inc.",Dental Providers,16201 Hwy 9,Breckenridge,CO,Summit,80424,"CON002, CON003",Anthem BCBS,"School Based Health Center - Summit High School: 16201 Hwy 9, Breckenridge, CO, 80424: Anthem BCBS","16201 Hwy 9, Breckenridge, CO, 80424"
1437533031,Lake School Based Health Center,Non-Physician,006 Primary Care - Nurse Practitioner,"Summit Community Care Clinic, Inc.",Dental Providers,1000 W 4th St,Leadville,CO,Lake,80461-3800,"CON002, CON003",Anthem BCBS,"Lake School Based Health Center: 1000 W 4th St, Leadville, CO, 80461-3800: Anthem BCBS","1000 W 4th St, Leadville, CO, 80461-3800"
1649267741,Center Dental Clinic,Physician,Dental Providers,"VALLEY WIDE HEALTH SYSTEMS, INC.",Dental Providers,220 S Worth St,Center,CO,Rio Grande,81125,CON002,Cigna,"Center Dental Clinic: 220 S Worth St, Center, CO, 81125: Cigna","220 S Worth St, Center, CO, 81125"
1386063485,Dental Center at Flagler,Physician,Dental Providers,PEAK VISTA COMMUNITY HEALTH CENTERS,Dental Providers,309 Pawnee Ave,Flagler,CO,Kit Carson,80815-9286,CON002,Cigna,"Dental Center at Flagler: 309 Pawnee Ave, Flagler, CO, 80815-9286: Cigna","309 Pawnee Ave, Flagler, CO, 80815-9286"
1295724797,La Jara Dental Clinic,Physician,Dental Providers,"VALLEY WIDE HEALTH SYSTEMS, INC.",Dental Providers,421 Walnut St,La Jara,CO,Conejos,81140,CON002,Cigna,"La Jara Dental Clinic: 421 Walnut St, La Jara, CO, 81140: Cigna","421 Walnut St, La Jara, CO, 81140"
1639595986,School Based Health Center - Summit High School,Physician,000 OTHER,"Summit Community Care Clinic, Inc.",Dental Providers,16201 Hwy 9,Breckenridge,CO,Summit,80424,"CON001, CON002",RMHP,"School Based Health Center - Summit High School: 16201 Hwy 9, Breckenridge, CO, 80424: RMHP","16201 Hwy 9, Breckenridge, CO, 80424"
1588080956,School Based Health Center - Dillon Valley Elementary,Physician,000 OTHER,"Summit Community Care Clinic, Inc.",Dental Providers,108 Deerpath Rd,Dillon,CO,Summit,80435,"CON001, CON002",RMHP,"School Based Health Center - Dillon Valley Elementary: 108 Deerpath Rd, Dillon, CO, 80435: RMHP","108 Deerpath Rd, Dillon, CO, 80435"
1437575792,School Based Health Center - Summit Middle School,Physician,000 OTHER,"Summit Community Care Clinic, Inc.",Dental Providers,158 School Rd,Frisco,CO,Summit,80443,"CON001, CON002",RMHP,"School Based Health Center - Summit Middle School: 158 School Rd, Frisco, CO, 80443: RMHP","158 School Rd, Frisco, CO, 80443"
1437533031,Lake School Based Health Center,Physician,000 OTHER,"Summit Community Care Clinic, Inc.",Dental Providers,1000 W 4th St,Leadville,CO,Lake,80461-3800,"CON001, CON002",RMHP,"Lake School Based Health Center: 1000 W 4th St, Leadville, CO, 80461-3800: RMHP","1000 W 4th St, Leadville, CO, 80461-3800"
1821414293,School Based Health Center - Silverthorne Elementary,Physician,000 OTHER,"Summit Community Care Clinic, Inc.",Dental Providers,101 Hamilton Creek Rd,Silverthorne,CO,Summit,80498,"CON001, CON002",RMHP,"School Based Health Center - Silverthorne Elementary: 101 Hamilton Creek Rd, Silverthorne, CO, 80498: RMHP","101 Hamilton Creek Rd, Silverthorne, CO, 80498"
