NPI,Name,Physician,Specialty,Entity_Name,ECP_Category,Street,City,State,County,Zip,Networks,Carrier,name_location_carrier,locations
1013911437,Northeast Colorado Health Department,Non-Physician,006 Primary Care - Nurse Practitioner,Northeast Colorado Health Department,Family Planning Providers,77 Main Ave,Akron,CO,Washington,80720-1439,"CON002, CON003",Anthem BCBS,"Northeast Colorado Health Department: 77 Main Ave, Akron, CO, 80720-1439: Anthem BCBS","77 Main Ave, Akron, CO, 80720-1439"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,1560 12th St,Alamosa,CO,Alamosa,81101-3709,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Anthem BCBS","1560 12th St, Alamosa, CO, 81101-3709"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,1560 12th St,Alamosa,CO,Alamosa,81101-3709,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Anthem BCBS","1560 12th St, Alamosa, CO, 81101-3709"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,1560 12th St,Alamosa,CO,Alamosa,81101-3709,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Anthem BCBS","1560 12th St, Alamosa, CO, 81101-3709"
1205957032,Community Health Services Inc. Family Planning Program,Physician,001 General Practice,Community Health Services Inc.,Family Planning Providers,405 Castle Creek Rd,Aspen,CO,Pitkin,81611-3125,"CON002, CON003",Anthem BCBS,"Community Health Services Inc. Family Planning Program: 405 Castle Creek Rd, Aspen, CO, 81611-3125: Anthem BCBS","405 Castle Creek Rd, Aspen, CO, 81611-3125"
1730295296,Rocky Mountain Youth Clinics - Laredo,Physician,101 Pediatrics - Routine/Primary Care,Rocky Mountain Youth Clinics,101 Pediatrics - Routine/Primary Care,1350 Laredo St,Aurora,CO,Arapahoe,80011-7455,"CON002, CON003",Anthem BCBS,"Rocky Mountain Youth Clinics - Laredo: 1350 Laredo St, Aurora, CO, 80011-7455: Anthem BCBS","1350 Laredo St, Aurora, CO, 80011-7455"
1730295296,Rocky Mountain Youth Clinics - Crawford,Physician,101 Pediatrics - Routine/Primary Care,Rocky Mountain Youth Clinics,101 Pediatrics - Routine/Primary Care,1600 Florence St,Aurora,CO,Adams,80010-2130,"CON002, CON003",Anthem BCBS,"Rocky Mountain Youth Clinics - Crawford: 1600 Florence St, Aurora, CO, 80010-2130: Anthem BCBS","1600 Florence St, Aurora, CO, 80010-2130"
1821010448,AVONDALE CLINIC,Non-Physician,006 Primary Care - Nurse Practitioner,PUEBLO COMMUNITY HEALTH CENTER,Federally Qualified Health Centers,328 Avondale Blvd,Avondale,CO,Pueblo,81022-8700,"CON002, CON003",Anthem BCBS,"AVONDALE CLINIC: 328 Avondale Blvd, Avondale, CO, 81022-8700: Anthem BCBS","328 Avondale Blvd, Avondale, CO, 81022-8700"
1487803383,Beacon Center for Infectious Diseases (ryan white providers),Physician,002 Family Medicine,Boulder Community Health (Hospital),Ryan White Providers,4800 Riverbend Rd,Boulder,CO,Boulder,80301-2636,"CON002, CON003",Anthem BCBS,"Beacon Center for Infectious Diseases (ryan white providers): 4800 Riverbend Rd, Boulder, CO, 80301-2636: Anthem BCBS","4800 Riverbend Rd, Boulder, CO, 80301-2636"
1639595986,School Based Health Center - Summit High School,Non-Physician,006 Primary Care - Nurse Practitioner,"Summit Community Care Clinic, Inc.", Family Planning Providers,16201 Hwy 9,Breckenridge,CO,Summit,80424,"CON002, CON003",Anthem BCBS,"School Based Health Center - Summit High School: 16201 Hwy 9, Breckenridge, CO, 80424: Anthem BCBS","16201 Hwy 9, Breckenridge, CO, 80424"
1639595986,School Based Health Center - Summit High School,Non-Physician,006 Primary Care - Nurse Practitioner,"Summit Community Care Clinic, Inc.", Federally Qualified Health Centers,16201 Hwy 9,Breckenridge,CO,Summit,80424,"CON002, CON003",Anthem BCBS,"School Based Health Center - Summit High School: 16201 Hwy 9, Breckenridge, CO, 80424: Anthem BCBS","16201 Hwy 9, Breckenridge, CO, 80424"
1336245828,"Children's Hospital Colorado Orthopedic Care, Centennial",Physician,025 Orthopedic Surgery,Children's Hospital Colorado,Outpatient Hospital Clinics,9094 E Mineral Cir,Centennial,CO,Arapahoe,80112-7201,"CON002, CON003",Anthem BCBS,"Children's Hospital Colorado Orthopedic Care, Centennial: 9094 E Mineral Cir, Centennial, CO, 80112-7201: Anthem BCBS","9094 E Mineral Cir, Centennial, CO, 80112-7201"
1790998953,Cheyenne County Public Health Office,Non-Physician,000 OTHER,"VALLEY WIDE HEALTH SYSTEMS, INC.",Federally Qualified Health Centers,615 N 5th St W,Cheyenne Wells,CO,Cheyenne,80810,"CON002, CON003",Anthem BCBS,"Cheyenne County Public Health Office: 615 N 5th St W, Cheyenne Wells, CO, 80810: Anthem BCBS","615 N 5th St W, Cheyenne Wells, CO, 80810"
1639200702,Kids First Health Care at Lester Arnold,Non-Physician,006 Primary Care - Nurse Practitioner,Kids First Health Care,006 Primary Care - Nurse Practitioner,6500 E 72nd Ave,Commerce City,CO,Adams,80022-2006,"CON002, CON003",Anthem BCBS,"Kids First Health Care at Lester Arnold: 6500 E 72nd Ave, Commerce City, CO, 80022-2006: Anthem BCBS","6500 E 72nd Ave, Commerce City, CO, 80022-2006"
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,20 W North St,Cortez,CO,Montezuma,81321-3117,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Anthem BCBS","20 W North St, Cortez, CO, 81321-3117"
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,20 W North St,Cortez,CO,Montezuma,81321-3117,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Anthem BCBS","20 W North St, Cortez, CO, 81321-3117"
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,20 W North St,Cortez,CO,Montezuma,81321-3117,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Anthem BCBS","20 W North St, Cortez, CO, 81321-3117"
1730295296,Rocky Mountain Youth Clinics - Southwest Open School,Non-Physician,006 Primary Care - Nurse Practitioner,Rocky Mountain Youth Clinics,006 Primary Care - Nurse Practitioner,401 N Dolores Rd,Cortez,CO,Montezuma,81321-4213,"CON002, CON003",Anthem BCBS,"Rocky Mountain Youth Clinics - Southwest Open School: 401 N Dolores Rd, Cortez, CO, 81321-4213: Anthem BCBS","401 N Dolores Rd, Cortez, CO, 81321-4213"
1770512964,Delta County Health Department,Non-Physician,000 OTHER,Delta County Health Department,Family Planning Providers,255 W 6th St,Delta,CO,Delta,81416-1626,"CON002, CON003",Anthem BCBS,"Delta County Health Department: 255 W 6th St, Delta, CO, 81416-1626: Anthem BCBS","255 W 6th St, Delta, CO, 81416-1626"
1770512964,Delta County Health Department,Non-Physician,000 OTHER,Delta County Health Department, Sexually Transmitted Disease Clinics,255 W 6th St,Delta,CO,Delta,81416-1626,"CON002, CON003",Anthem BCBS,"Delta County Health Department: 255 W 6th St, Delta, CO, 81416-1626: Anthem BCBS","255 W 6th St, Delta, CO, 81416-1626"
1770512964,Delta County Health Department,Non-Physician,000 OTHER,Delta County Health Department, Tuberculosis Clinics,255 W 6th St,Delta,CO,Delta,81416-1626,"CON002, CON003",Anthem BCBS,"Delta County Health Department: 255 W 6th St, Delta, CO, 81416-1626: Anthem BCBS","255 W 6th St, Delta, CO, 81416-1626"
1699930651,JEFFERSON HIGH SCHOOL KIDS & TEENS HEALTH CENTER,Non-Physician,000 OTHER,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,2305 Pierce St,Edgewater,CO,Jefferson,80214-1031,"CON002, CON003",Anthem BCBS,"JEFFERSON HIGH SCHOOL KIDS & TEENS HEALTH CENTER: 2305 Pierce St, Edgewater, CO, 80214-1031: Anthem BCBS","2305 Pierce St, Edgewater, CO, 80214-1031"
1881743631,Planned Parenthood of the Rocky Mountains - Granby,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,236 Agate Ave.,Granby,CO,Grand,80446-0088,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains - Granby: 236 Agate Ave., Granby, CO, 80446-0088: Anthem BCBS","236 Agate Ave., Granby, CO, 80446-0088"
1881743631,Planned Parenthood of the Rocky Mountains - Granby,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,236 Agate Ave.,Granby,CO,Grand,80446-0088,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains - Granby: 236 Agate Ave., Granby, CO, 80446-0088: Anthem BCBS","236 Agate Ave., Granby, CO, 80446-0088"
1699716027,St. Mary's Family Medicine,Physician,001 General Practice,St. Mary's Hospital and Medical Center,Ryan White Providers,2698 Patterson Rd,Grand Junction,CO,Mesa,81506-8818,"CON002, CON003",Anthem BCBS,"St. Mary's Family Medicine: 2698 Patterson Rd, Grand Junction, CO, 81506-8818: Anthem BCBS","2698 Patterson Rd, Grand Junction, CO, 81506-8818"
1295041598,SUNRISE NORTH RANGE CLINIC,Physician,002 Family Medicine,SUNRISE COMMUNITY HEALTH,Federally Qualified Health Centers,1300 N 17th Ave,Greeley,CO,Weld,80631-9584,"CON002, CON003",Anthem BCBS,"SUNRISE NORTH RANGE CLINIC: 1300 N 17th Ave, Greeley, CO, 80631-9584: Anthem BCBS","1300 N 17th Ave, Greeley, CO, 80631-9584"
1316244692,WELD COUNTY HEALTH DEPT. PRENATAL CLINIC,Non-Physician,006 Primary Care - Nurse Practitioner,SUNRISE COMMUNITY HEALTH,Federally Qualified Health Centers,1551 N 17th Ave,Greeley,CO,Weld,80631-9400,"CON002, CON003",Anthem BCBS,"WELD COUNTY HEALTH DEPT. PRENATAL CLINIC: 1551 N 17th Ave, Greeley, CO, 80631-9400: Anthem BCBS","1551 N 17th Ave, Greeley, CO, 80631-9400"
1881743631,Planned Parenthood of the Rocky Mountains--Greeley,Physician,016 Gynecology (OB/GYN),"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,3487 W 10th St,Greeley,CO,Weld,80634-5361,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Greeley: 3487 W 10th St, Greeley, CO, 80634-5361: Anthem BCBS","3487 W 10th St, Greeley, CO, 80634-5361"
1881743631,Planned Parenthood of the Rocky Mountains--Greeley,Physician,016 Gynecology (OB/GYN),"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,3487 W 10th St,Greeley,CO,Weld,80634-5361,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Greeley: 3487 W 10th St, Greeley, CO, 80634-5361: Anthem BCBS","3487 W 10th St, Greeley, CO, 80634-5361"
1932596350,High Plains Holly Clinic,Non-Physician,000 OTHER,"HIGH PLAINS COMMUNITY HEALTH CENTER, INCORPORATED",Federally Qualified Health Centers,410 W. Colorado,Holly,CO,Prowers,81047,"CON002, CON003",Anthem BCBS,"High Plains Holly Clinic: 410 W. Colorado, Holly, CO, 81047: Anthem BCBS","410 W. Colorado, Holly, CO, 81047"
